        soln	      dist_x	        time	          pH	          pe	        C(4)	        N(3)	       Fe(2)	       Fe(3)	       Mn(2)	        S(6)	           P	          Cd	          Zn	          Pb	           C	      m_CaX2	      m_MgX2	       m_NaX	        m_KX	      m_AlX3	      m_CdX2	      m_ZnX2	      m_PbX2	
           1	           0	           0	     7.48507	     4.10556	 1.0000e-005	 4.6929e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8271e-005	 2.4500e-004	 9.7161e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9480e-009	 9.8407e-004	 3.6625e-003	 1.2211e-003	
           2	    -0.10069	           0	     7.48507	     4.10556	 1.0000e-005	 4.6930e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8271e-005	 2.4500e-004	 9.7161e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9444e-009	 9.8289e-004	 3.6581e-003	 1.2196e-003	
           3	   -0.201379	           0	     7.48507	     4.10556	 1.0000e-005	 4.6930e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8272e-005	 2.4500e-004	 9.7161e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9409e-009	 9.8171e-004	 3.6537e-003	 1.2181e-003	
           4	   -0.302069	           0	     7.48507	     4.10556	 1.0000e-005	 4.6930e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8272e-005	 2.4500e-004	 9.7162e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9374e-009	 9.8054e-004	 3.6493e-003	 1.2167e-003	
           5	   -0.402759	           0	     7.48507	      4.1055	 1.0000e-005	 4.6913e-036	 7.3324e-004	 6.0300e-003	 1.9640e-004	 5.0000e-004	 9.0000e-005	 8.8261e-005	 2.4498e-004	 9.7147e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.1190e-009	 1.0411e-003	 3.8746e-003	 1.2917e-003	
           6	   -0.503448	           0	     7.48507	      4.1055	 1.0000e-005	 4.6913e-036	 7.3324e-004	 6.0300e-003	 1.9640e-004	 5.0000e-004	 9.0000e-005	 8.8261e-005	 2.4498e-004	 9.7147e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.1143e-009	 1.0395e-003	 3.8688e-003	 1.2898e-003	
           7	   -0.604138	           0	     7.48507	      4.1055	 1.0000e-005	 4.6914e-036	 7.3323e-004	 6.0300e-003	 1.9640e-004	 5.0000e-004	 9.0000e-005	 8.8261e-005	 2.4498e-004	 9.7148e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.1098e-009	 1.0380e-003	 3.8632e-003	 1.2879e-003	
           8	   -0.704828	           0	     7.48507	     4.10553	 1.0000e-005	 4.6922e-036	 7.3319e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8267e-005	 2.4499e-004	 9.7155e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.0177e-009	 1.0073e-003	 3.7489e-003	 1.2499e-003	
           9	   -0.805517	           0	     7.48507	     4.10554	 1.0000e-005	 4.6923e-036	 7.3319e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8267e-005	 2.4499e-004	 9.7155e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.0114e-009	 1.0052e-003	 3.7411e-003	 1.2473e-003	
          10	   -0.906207	           0	     7.48507	     4.10554	 1.0000e-005	 4.6924e-036	 7.3319e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8268e-005	 2.4499e-004	 9.7156e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.0052e-009	 1.0031e-003	 3.7334e-003	 1.2447e-003	
